gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,tenure_group,services_count,has_internet,avg_charge_per_month
Female,0,No,No,32,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),24.24,775.68,mid,2,1,24.24
Male,0,No,No,22,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,76.17,1675.74,mid,4,1,76.17
Male,0,Yes,No,1,Yes,No,Fiber optic,No,No,Yes,No,Yes,No internet service,Month-to-month,Yes,Electronic check,90.19,90.19,new,2,1,90.19
Male,0,Yes,Yes,31,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,103.2,3199.2,mid,4,0,103.19999999999999
Male,0,Yes,No,50,No,No,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,90.66,4533.0,loyal,3,1,90.66
Male,0,No,No,10,Yes,No,Fiber optic,No internet service,Yes,No,Yes,No,Yes,One year,No,Mailed check,26.62,266.2,new,3,1,26.619999999999997
Male,1,Yes,No,26,Yes,Yes,Fiber optic,No internet service,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),69.5,1807.0,mid,3,1,69.5
Female,0,No,No,55,Yes,No phone service,DSL,No,No internet service,No,No internet service,No internet service,No,Month-to-month,Yes,Mailed check,45.63,2509.65,loyal,0,1,45.63
Female,1,No,No,39,Yes,No,Fiber optic,Yes,No,No,Yes,No internet service,Yes,Month-to-month,No,Mailed check,65.84,2567.76,loyal,3,1,65.84
Male,0,Yes,No,0,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,No,Electronic check,103.22,0.0,new,2,1,0.0
Male,1,Yes,No,62,Yes,No,DSL,No internet service,No internet service,No,No,No internet service,Yes,Month-to-month,Yes,Mailed check,98.65,6116.3,loyal,1,1,98.65
Male,0,Yes,No,63,Yes,No phone service,Fiber optic,No,Yes,No internet service,No,No,Yes,Month-to-month,No,Mailed check,84.69,5335.47,loyal,2,1,84.69
Female,0,Yes,No,60,Yes,Yes,DSL,No internet service,No,No,No internet service,Yes,No,Two year,Yes,Electronic check,45.98,2758.8,loyal,1,1,45.980000000000004
Male,0,Yes,Yes,9,No,No phone service,No,No,No,Yes,No,No internet service,Yes,Month-to-month,Yes,Electronic check,70.05,630.45,new,2,0,70.05000000000001
Female,0,Yes,Yes,2,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),113.04,226.08,new,2,1,113.04
Female,0,Yes,Yes,60,No,Yes,DSL,No internet service,Yes,Yes,Yes,No internet service,No,Two year,Yes,Electronic check,22.67,1360.2,loyal,3,1,22.67
Male,1,No,No,56,Yes,Yes,DSL,Yes,Yes,No internet service,No,No,No,One year,Yes,Electronic check,105.3,5896.8,loyal,2,1,105.3
Male,0,No,No,33,Yes,No,DSL,Yes,Yes,Yes,No,No,No,One year,No,Electronic check,64.81,2138.73,mid,3,1,64.81
Male,0,No,No,38,No,No,DSL,Yes,No,Yes,No internet service,No internet service,Yes,Month-to-month,Yes,Mailed check,50.94,1935.72,loyal,3,1,50.94
Female,0,Yes,Yes,7,Yes,No,Fiber optic,Yes,No internet service,Yes,No internet service,No internet service,No,Month-to-month,No,Electronic check,26.28,183.96,new,2,1,26.28
Female,0,Yes,No,63,Yes,No,DSL,No internet service,No internet service,Yes,No,No internet service,No,Month-to-month,Yes,Credit card (automatic),32.61,2054.43,loyal,1,1,32.61
Female,0,No,Yes,62,Yes,Yes,No,No internet service,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),60.98,3780.76,loyal,0,0,60.980000000000004
Male,0,No,Yes,17,Yes,No phone service,DSL,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Mailed check,65.84,1119.28,mid,3,1,65.84
Female,0,No,No,61,Yes,No,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,No,Credit card (automatic),38.74,2363.14,loyal,3,1,38.739999999999995
Female,0,Yes,Yes,36,Yes,No,DSL,Yes,No,No,No internet service,Yes,Yes,Two year,No,Credit card (automatic),22.74,818.64,mid,3,1,22.74
Male,1,No,No,53,Yes,No phone service,No,Yes,Yes,No,Yes,No,No,Two year,No,Electronic check,94.02,4983.06,loyal,3,0,94.02000000000001
Male,0,Yes,No,35,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Two year,No,Bank transfer (automatic),24.25,848.75,mid,1,1,24.25
Female,0,No,Yes,42,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,No internet service,Two year,No,Electronic check,102.12,4289.04,loyal,3,1,102.12
Female,0,Yes,No,62,Yes,Yes,No,Yes,No,Yes,No internet service,No,Yes,Month-to-month,Yes,Mailed check,109.58,6793.96,loyal,3,0,109.58
Male,1,No,No,19,Yes,No,Fiber optic,No internet service,No internet service,No internet service,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),109.87,2087.53,mid,1,1,109.87
Female,0,No,No,18,Yes,No,Fiber optic,Yes,Yes,No internet service,No internet service,No,No,Two year,Yes,Bank transfer (automatic),89.54,1611.72,mid,2,1,89.54
Male,0,No,No,12,Yes,Yes,Fiber optic,No,No internet service,No internet service,No,No,Yes,Month-to-month,No,Credit card (automatic),50.31,603.72,new,1,1,50.31
Male,0,Yes,Yes,49,Yes,No,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),19.01,931.49,loyal,4,1,19.01
Female,0,No,No,39,Yes,No,DSL,No,No,Yes,No,No,Yes,Two year,Yes,Bank transfer (automatic),55.41,2160.99,loyal,2,1,55.41
Female,0,No,No,26,Yes,No phone service,Fiber optic,No internet service,No internet service,No,No,No,Yes,Month-to-month,Yes,Electronic check,21.83,567.58,mid,1,1,21.830000000000002
Male,0,Yes,No,17,Yes,No,No,Yes,No internet service,Yes,No,No,No,Month-to-month,No,Electronic check,49.6,843.2,mid,2,0,49.6
Female,0,No,No,16,Yes,No,DSL,Yes,No internet service,No,No,No internet service,No,Two year,Yes,Electronic check,88.54,1416.64,mid,1,1,88.54
Female,0,No,No,28,Yes,No,No,No,No,No internet service,No,Yes,No internet service,Two year,No,Electronic check,22.15,620.2,mid,1,0,22.150000000000002
Female,0,Yes,No,68,Yes,No,No,No,No internet service,No,No internet service,Yes,Yes,Month-to-month,Yes,Credit card (automatic),23.2,1577.6,loyal,2,0,23.2
Female,0,Yes,No,61,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,One year,Yes,Mailed check,85.63,5223.43,loyal,5,1,85.63000000000001
Female,0,Yes,No,28,Yes,No,DSL,Yes,No internet service,No,Yes,No,No,One year,Yes,Electronic check,64.5,1806.0,mid,2,1,64.5
Female,0,Yes,No,22,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Electronic check,68.39,1504.58,mid,3,1,68.39
Female,0,No,No,26,Yes,No phone service,DSL,Yes,No,No internet service,No internet service,No,No,Two year,No,Credit card (automatic),101.38,2635.88,mid,1,1,101.38000000000001
Male,0,No,No,69,Yes,No phone service,Fiber optic,No internet service,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),85.38,5891.22,loyal,2,1,85.38000000000001
Female,1,Yes,No,9,Yes,No,No,No,Yes,No,No internet service,Yes,No,Two year,No,Electronic check,45.44,408.96,new,2,0,45.44
Male,0,Yes,Yes,2,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No internet service,Month-to-month,No,Bank transfer (automatic),31.15,62.3,new,3,1,31.15
Male,0,Yes,No,45,Yes,No,Fiber optic,No internet service,No,No internet service,No,Yes,No internet service,Two year,Yes,Credit card (automatic),64.27,2892.15,loyal,1,1,64.27
Female,0,Yes,No,37,Yes,No,No,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,19.04,704.48,loyal,1,0,19.04
Male,0,Yes,Yes,22,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,No internet service,Two year,Yes,Electronic check,111.36,2449.92,mid,4,1,111.36
Female,0,Yes,Yes,23,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),38.5,885.5,mid,6,1,38.5
Female,0,Yes,Yes,64,Yes,No,DSL,No,No,Yes,No internet service,No internet service,No,Month-to-month,No,Bank transfer (automatic),109.91,7034.24,loyal,1,1,109.91
Female,0,No,No,31,No,No,DSL,Yes,No internet service,No internet service,No internet service,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),84.2,2610.2,mid,2,1,84.19999999999999
Male,1,No,No,6,No,No,Fiber optic,No internet service,No,No,Yes,No internet service,Yes,Two year,Yes,Bank transfer (automatic),81.06,486.36,new,2,1,81.06
Male,0,No,No,4,Yes,Yes,DSL,No,Yes,Yes,No,No internet service,Yes,Two year,No,Credit card (automatic),76.81,307.24,new,3,1,76.81
Female,1,No,No,3,Yes,No,No,No,Yes,Yes,No,No,No,Two year,Yes,Bank transfer (automatic),110.82,332.46,new,2,0,110.82
Female,0,No,No,10,Yes,No,No,No,No,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),51.02,510.2,new,2,0,51.019999999999996
Female,0,No,No,50,Yes,No,DSL,Yes,Yes,No,No,No,No internet service,One year,Yes,Electronic check,39.98,1999.0,loyal,2,1,39.98
Female,0,No,Yes,71,Yes,No,Fiber optic,Yes,No internet service,No,Yes,No,No,Month-to-month,Yes,Mailed check,98.78,7013.38,loyal,2,1,98.78
Male,0,Yes,Yes,43,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,Yes,Electronic check,39.58,1701.94,loyal,0,1,39.58
Female,0,No,No,18,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),103.24,1858.32,mid,6,1,103.24
Female,0,No,Yes,7,Yes,Yes,DSL,Yes,No,No internet service,No,Yes,No internet service,One year,Yes,Credit card (automatic),87.31,611.17,new,2,1,87.30999999999999
Female,1,No,No,66,Yes,No,Fiber optic,No internet service,Yes,Yes,No,No internet service,Yes,Month-to-month,Yes,Mailed check,69.88,4612.08,loyal,3,1,69.88
Male,0,No,No,26,Yes,Yes,Fiber optic,No internet service,Yes,No,No internet service,No internet service,No,Month-to-month,Yes,Credit card (automatic),61.14,1589.64,mid,1,1,61.14
Female,0,No,No,4,Yes,Yes,Fiber optic,No internet service,No,No,No internet service,No,Yes,Month-to-month,Yes,Bank transfer (automatic),68.74,274.96,new,1,1,68.74
Female,0,No,Yes,11,Yes,No phone service,Fiber optic,No,Yes,No internet service,Yes,No,No internet service,Month-to-month,Yes,Electronic check,39.57,435.27,new,2,1,39.57
Male,0,No,No,24,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,109.2,2620.8,mid,4,1,109.2
Male,0,No,Yes,9,Yes,Yes,DSL,Yes,Yes,Yes,No,No,No internet service,One year,Yes,Bank transfer (automatic),63.36,570.24,new,3,1,63.36
Male,0,Yes,No,9,Yes,No,DSL,No internet service,No,No internet service,No internet service,No,No internet service,Month-to-month,No,Electronic check,18.45,166.05,new,0,1,18.450000000000003
Male,0,No,No,14,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,24.82,347.48,mid,1,1,24.82
Female,1,Yes,No,26,No,No,DSL,Yes,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),118.48,3080.48,mid,2,1,118.48
Female,0,Yes,No,17,Yes,No,Fiber optic,No,No internet service,No,Yes,No,Yes,Month-to-month,No,Credit card (automatic),53.83,915.11,mid,2,1,53.83
Male,1,No,No,58,Yes,No phone service,DSL,No internet service,No,No internet service,Yes,No internet service,No internet service,Month-to-month,Yes,Electronic check,29.74,1724.92,loyal,1,1,29.740000000000002
Male,0,No,No,3,No,Yes,DSL,No,Yes,No,No,Yes,No,Two year,No,Mailed check,59.7,179.1,new,2,1,59.699999999999996
Male,1,No,Yes,39,Yes,No,DSL,No internet service,Yes,No,Yes,No,No,One year,Yes,Electronic check,48.33,1884.87,loyal,2,1,48.33
Male,0,Yes,No,62,Yes,Yes,DSL,No,No,No,No,Yes,No internet service,One year,No,Bank transfer (automatic),50.49,3130.38,loyal,1,1,50.49
Male,0,No,No,39,Yes,No,Fiber optic,No internet service,No internet service,No,Yes,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),47.94,1869.66,loyal,2,1,47.940000000000005
Female,0,Yes,No,11,Yes,Yes,DSL,No,No internet service,No internet service,No,No,Yes,One year,Yes,Electronic check,52.49,577.39,new,1,1,52.49
Male,0,No,No,38,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,Yes,Credit card (automatic),41.43,1574.34,loyal,3,1,41.43
Male,0,No,No,43,Yes,No,Fiber optic,No,No internet service,No,No,No internet service,No,Month-to-month,No,Mailed check,45.65,1962.95,loyal,0,1,45.65
Male,0,No,No,18,Yes,No,Fiber optic,No,No,Yes,No,No internet service,No internet service,Month-to-month,No,Mailed check,107.67,1938.06,mid,1,1,107.67
Male,0,Yes,Yes,15,Yes,No phone service,No,Yes,No internet service,Yes,No internet service,No,No,Two year,No,Credit card (automatic),111.79,1676.85,mid,2,0,111.78999999999999
Male,0,No,No,58,Yes,No phone service,Fiber optic,Yes,Yes,No,No,Yes,No,Two year,No,Electronic check,40.73,2362.34,loyal,3,1,40.730000000000004
Female,1,Yes,No,35,Yes,No,DSL,No,No,Yes,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),51.46,1801.1,mid,3,1,51.46
Male,0,Yes,No,20,Yes,No,Fiber optic,No,No,No,Yes,No internet service,Yes,Two year,Yes,Credit card (automatic),108.0,2160.0,mid,2,1,108.0
Female,0,Yes,Yes,35,Yes,No,Fiber optic,No internet service,No,No,No,Yes,Yes,Two year,No,Electronic check,51.74,1810.9,mid,2,1,51.74
Female,0,Yes,Yes,46,Yes,No,No,No,Yes,No internet service,No,No,No internet service,Month-to-month,No,Credit card (automatic),101.49,4668.54,loyal,1,0,101.49
Male,0,Yes,No,70,Yes,Yes,DSL,No,No internet service,Yes,No,No,Yes,One year,No,Electronic check,92.23,6456.1,loyal,2,1,92.23
Male,0,Yes,No,24,No,Yes,Fiber optic,No,No,No,No,Yes,No,One year,No,Mailed check,77.0,1848.0,mid,1,1,77.0
Male,0,No,Yes,30,Yes,No phone service,Fiber optic,Yes,No,Yes,No,Yes,No internet service,Two year,Yes,Credit card (automatic),81.26,2437.8,mid,3,1,81.26
Female,0,No,No,5,Yes,Yes,DSL,Yes,No internet service,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),57.14,285.7,new,4,1,57.14
Male,0,Yes,No,36,Yes,Yes,DSL,Yes,No,Yes,Yes,No internet service,No,Two year,Yes,Mailed check,90.93,3273.48,mid,3,1,90.93
Female,1,Yes,Yes,58,Yes,Yes,DSL,No,No,No,No internet service,No internet service,Yes,Two year,Yes,Mailed check,30.5,1769.0,loyal,1,1,30.5
Female,0,Yes,No,41,Yes,No,DSL,No,Yes,No internet service,No internet service,No internet service,Yes,Two year,Yes,Mailed check,84.89,3480.49,loyal,2,1,84.89
Female,0,No,No,40,Yes,No,DSL,No,No,No,No internet service,No,Yes,Two year,Yes,Mailed check,56.65,2266.0,loyal,1,1,56.65
Male,1,No,No,13,Yes,No,No,Yes,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),96.24,1251.12,mid,1,0,96.24
Male,0,Yes,No,65,Yes,Yes,DSL,No,No internet service,No,No,No internet service,No internet service,Month-to-month,No,Electronic check,109.9,7143.5,loyal,0,1,109.9
Male,0,No,No,53,Yes,Yes,No,Yes,No internet service,No,Yes,No,No internet service,Month-to-month,No,Credit card (automatic),119.13,6313.89,loyal,2,0,119.13000000000001
Female,1,No,No,50,No,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,Yes,Electronic check,73.63,3681.5,loyal,3,1,73.63
Female,1,No,Yes,33,Yes,No,Fiber optic,No internet service,No internet service,No,No,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),38.19,1260.27,mid,0,1,38.19
Female,0,Yes,No,27,Yes,No,DSL,No,No,Yes,No internet service,No,No,Month-to-month,Yes,Electronic check,64.92,1752.84,mid,1,1,64.92
Male,0,Yes,No,55,Yes,No,Fiber optic,Yes,No,No internet service,No,No,Yes,One year,Yes,Credit card (automatic),54.02,2971.1,loyal,2,1,54.019999999999996
Male,0,Yes,Yes,55,No,Yes,Fiber optic,No,No internet service,No,No,Yes,No,One year,Yes,Mailed check,22.96,1262.8,loyal,1,1,22.96
Female,0,No,Yes,27,Yes,Yes,No,Yes,Yes,Yes,No internet service,No,No internet service,Month-to-month,Yes,Electronic check,48.58,1311.66,mid,3,0,48.580000000000005
Male,0,Yes,No,12,Yes,No,Fiber optic,No,No,Yes,No,No internet service,Yes,Month-to-month,Yes,Electronic check,49.42,593.04,new,2,1,49.419999999999995
Male,0,Yes,Yes,61,Yes,No,DSL,No internet service,No internet service,No,Yes,No,No internet service,Month-to-month,Yes,Credit card (automatic),101.06,6164.66,loyal,1,1,101.06
Male,0,No,No,59,Yes,Yes,DSL,No,No,No internet service,Yes,No,Yes,Month-to-month,Yes,Electronic check,100.3,5917.7,loyal,2,1,100.3
Female,0,Yes,No,42,Yes,Yes,DSL,Yes,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,96.81,4066.02,loyal,4,1,96.81
Female,0,Yes,No,2,Yes,No,No,No,Yes,Yes,No,No internet service,No,Month-to-month,No,Electronic check,91.31,182.62,new,2,0,91.31
Male,0,No,No,12,Yes,No,No,No,No,Yes,No internet service,No,No,Month-to-month,Yes,Electronic check,76.9,922.8,new,1,0,76.89999999999999
Male,0,No,No,32,Yes,No,Fiber optic,No,No,No,No,Yes,No internet service,One year,No,Electronic check,85.51,2736.32,mid,1,1,85.51
Male,0,Yes,No,63,Yes,Yes,No,No,Yes,Yes,No,Yes,No internet service,One year,No,Bank transfer (automatic),91.14,5741.82,loyal,3,0,91.14
Female,0,Yes,No,18,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,One year,No,Electronic check,68.86,1239.48,mid,4,0,68.86
Male,0,No,Yes,23,Yes,No phone service,Fiber optic,Yes,Yes,No internet service,No,Yes,Yes,Two year,Yes,Credit card (automatic),35.6,818.8,mid,4,1,35.6
Male,0,No,Yes,41,No,No phone service,DSL,Yes,No internet service,Yes,No internet service,No,Yes,One year,Yes,Bank transfer (automatic),41.5,1701.5,loyal,3,1,41.5
Male,0,No,Yes,13,No,No,Fiber optic,No internet service,Yes,Yes,Yes,No internet service,No,Month-to-month,Yes,Mailed check,110.54,1437.02,mid,3,1,110.53999999999999
Female,0,No,No,32,No,No,Fiber optic,No,Yes,Yes,No,Yes,No internet service,Month-to-month,Yes,Credit card (automatic),72.69,2326.08,mid,3,1,72.69
Male,0,No,No,54,Yes,No,Fiber optic,No,No internet service,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,63.63,3436.02,loyal,2,1,63.63
Male,0,Yes,Yes,29,Yes,No phone service,Fiber optic,No,Yes,Yes,No,No,No internet service,Month-to-month,Yes,Electronic check,73.93,2143.97,mid,2,1,73.92999999999999
Female,0,No,Yes,27,Yes,No,DSL,No,Yes,Yes,No,Yes,Yes,Two year,No,Electronic check,106.2,2867.4,mid,4,1,106.2
Female,0,Yes,Yes,17,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No internet service,One year,Yes,Bank transfer (automatic),119.92,2038.64,mid,2,1,119.92
Female,1,Yes,Yes,40,Yes,No,DSL,No,No,No internet service,No,Yes,No,One year,Yes,Mailed check,100.37,4014.8,loyal,1,1,100.37
Male,0,No,Yes,59,Yes,No,No,No,Yes,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),74.95,4422.05,loyal,2,0,74.95
Male,0,No,No,29,Yes,No,No,No,No internet service,No,No internet service,No,Yes,Month-to-month,No,Electronic check,99.79,2893.91,mid,1,0,99.78999999999999
Female,0,No,No,44,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,113.58,4997.52,loyal,4,1,113.58000000000001
Female,1,No,No,62,Yes,No phone service,No,No internet service,No internet service,Yes,No,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),65.07,4034.34,loyal,2,0,65.07000000000001
Male,0,Yes,No,24,No,Yes,Fiber optic,Yes,No,No,No,No,Yes,Two year,Yes,Mailed check,116.42,2794.08,mid,2,1,116.42
Male,0,No,No,33,Yes,Yes,Fiber optic,No,Yes,No internet service,No,Yes,No,Two year,Yes,Credit card (automatic),58.18,1919.94,mid,2,1,58.18
Female,0,No,No,57,Yes,No,No,No,No internet service,No,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),79.52,4532.64,loyal,0,0,79.52000000000001
Male,1,No,No,65,Yes,Yes,No,No,Yes,No internet service,No internet service,No internet service,Yes,Month-to-month,Yes,Electronic check,66.86,4345.9,loyal,2,0,66.86
Female,0,Yes,Yes,12,Yes,No,DSL,No internet service,Yes,No internet service,No,Yes,No internet service,Month-to-month,No,Bank transfer (automatic),58.01,696.12,new,2,1,58.01
Female,0,No,No,60,Yes,No,Fiber optic,No internet service,Yes,No,No,No,No internet service,One year,Yes,Electronic check,35.72,2143.2,loyal,1,1,35.72
Male,0,No,Yes,34,Yes,No,Fiber optic,No internet service,No internet service,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),97.6,3318.4,mid,2,1,97.60000000000001
Male,0,Yes,No,58,Yes,No phone service,No,No internet service,Yes,No,No internet service,No internet service,No,One year,Yes,Credit card (automatic),68.56,3976.48,loyal,1,0,68.56
Male,0,Yes,No,51,Yes,Yes,Fiber optic,No,No internet service,Yes,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),70.45,3592.95,loyal,3,1,70.45
Male,1,No,No,46,Yes,No,No,Yes,No internet service,No,Yes,No,No internet service,Two year,Yes,Electronic check,108.71,5000.66,loyal,2,0,108.71
Male,0,Yes,No,28,Yes,No,No,No,No internet service,Yes,Yes,No internet service,No,Two year,Yes,Credit card (automatic),112.29,3144.12,mid,2,0,112.28999999999999
Male,0,No,No,55,Yes,Yes,Fiber optic,No internet service,Yes,No internet service,No,Yes,No internet service,Month-to-month,No,Electronic check,49.54,2724.7,loyal,2,1,49.54
Male,0,No,No,71,Yes,No,Fiber optic,No,No,No internet service,No internet service,No,No,Month-to-month,No,Bank transfer (automatic),87.35,6201.85,loyal,0,1,87.35000000000001
Female,0,No,No,64,Yes,No,DSL,No,Yes,No,No internet service,Yes,No,Two year,Yes,Bank transfer (automatic),114.22,7310.08,loyal,2,1,114.22
Male,0,Yes,Yes,22,Yes,No,No,No,Yes,Yes,No,No internet service,No,Two year,Yes,Electronic check,32.35,711.7,mid,2,0,32.35
